food_kr,food_en,image_url
정통크로와상,Authentic Croissant,"https://source.unsplash.com/400x400/?Authentic%20Croissant,food"
초콜릿 아포가토,Chocolate Apogato,"https://source.unsplash.com/400x400/?Chocolate%20Apogato,food"
깔라봉 차,Kalabong Tea,"https://source.unsplash.com/400x400/?Kalabong%20Tea,food"
이탈리아 마르게리따 피자 치즈버스트 나폴리,Italian Margherita Pizza Cheeseburst Naples,"https://source.unsplash.com/400x400/?Italian%20Margherita%20Pizza%20Cheeseburst%20Naples,food"
흑당가득품은호떡,Heuk-sang gamut Eunho Rice Cake,"https://source.unsplash.com/400x400/?Heuk-sang%20gamut%20Eunho%20Rice%20Cake,food"
해물 채소전,Seafood Vegetable Fair,"https://source.unsplash.com/400x400/?Seafood%20Vegetable%20Fair,food"
할루미 피자 밀스크린치즈크러스트,Halloumi Pizza Millscreen Cheese Crust,"https://source.unsplash.com/400x400/?Halloumi%20Pizza%20Millscreen%20Cheese%20Crust,food"
로얄 밀크티 핫,Royal Milk Tea Hot,"https://source.unsplash.com/400x400/?Royal%20Milk%20Tea%20Hot,food"
오렌지 페이스트리,Orange pastry,"https://source.unsplash.com/400x400/?Orange%20pastry,food"
골뱅이무침,Golbang Yi Muchim,"https://source.unsplash.com/400x400/?Golbang%20Yi%20Muchim,food"
달고나 라떼 핫,Dalgona Latte Hot,"https://source.unsplash.com/400x400/?Dalgona%20Latte%20Hot,food"
삼겹살구이,Grilled pork belly,"https://source.unsplash.com/400x400/?Grilled%20pork%20belly,food"
어묵잡채,Fishy gravy,"https://source.unsplash.com/400x400/?Fishy%20gravy,food"
우리찹쌀모카찰떡빵,Woori glutinous rice mochachal bread,"https://source.unsplash.com/400x400/?Woori%20glutinous%20rice%20mochachal%20bread,food"
블루베리 에이드,Blueberry Aid,"https://source.unsplash.com/400x400/?Blueberry%20Aid,food"
탄탄불고기 피자 씬도우,Tanbul Meat Pizza Scindow,"https://source.unsplash.com/400x400/?Tanbul%20Meat%20Pizza%20Scindow,food"
애플망고 아이스티,Apple Mango Iced Tea,"https://source.unsplash.com/400x400/?Apple%20Mango%20Iced%20Tea,food"
스트로베리마스카포네티라미수 케이크,Strawberry Mascaponetti Ramisu Cake,"https://source.unsplash.com/400x400/?Strawberry%20Mascaponetti%20Ramisu%20Cake,food"
크리미크로칸슈,Crimean Lokanshu,"https://source.unsplash.com/400x400/?Crimean%20Lokanshu,food"
커스터드에 반한 딸기 크로플 딸기청,Strawberry cropple strawberry bronze against custard,"https://source.unsplash.com/400x400/?Strawberry%20cropple%20strawberry%20bronze%20against%20custard,food"
레허반반순살 치킨,Leherbansunsal Chicken,"https://source.unsplash.com/400x400/?Leherbansunsal%20Chicken,food"
가지찜,Steamed eggplant,"https://source.unsplash.com/400x400/?Steamed%20eggplant,food"
이탈리아 마르게리따 피자 치즈버스트 오리지널,Italian Margherita Pizza Cheeseburst Original,"https://source.unsplash.com/400x400/?Italian%20Margherita%20Pizza%20Cheeseburst%20Original,food"
몬스터 치즈 프라이,Monster Cheese Fry,"https://source.unsplash.com/400x400/?Monster%20Cheese%20Fry,food"
얼그레이 케이크,Earl Grey Cake,"https://source.unsplash.com/400x400/?Earl%20Grey%20Cake,food"
에스프레소 콘파냐,Espresso confaña,"https://source.unsplash.com/400x400/?Espresso%20confa%C3%B1a,food"
매콤 깻잎 순대볶음,Spicy Sesame Leaf Sundae Stir Fry,"https://source.unsplash.com/400x400/?Spicy%20Sesame%20Leaf%20Sundae%20Stir%20Fry,food"
명란바게뜨,Myeongran Baguette,"https://source.unsplash.com/400x400/?Myeongran%20Baguette,food"
뉴그릴드치킨 피자 씬,New Grilled Chicken Pizza Scene,"https://source.unsplash.com/400x400/?New%20Grilled%20Chicken%20Pizza%20Scene,food"
크랩&립하우스 피자 슈퍼시드 화이버 버스트 오리지널,Crab & Rib House Pizza Supersede Fiber Burst Original,"https://source.unsplash.com/400x400/?Crab%20%26%20Rib%20House%20Pizza%20Supersede%20Fiber%20Burst%20Original,food"
부드러운갈릭브레드,Soft garlic bread,"https://source.unsplash.com/400x400/?Soft%20garlic%20bread,food"
솔티카라멜크림 라떼 아이스,Salticaramel Cream Latte Ice,"https://source.unsplash.com/400x400/?Salticaramel%20Cream%20Latte%20Ice,food"
화이트바닐라빈무스 케이크,White vanilla bean mousse cake,"https://source.unsplash.com/400x400/?White%20vanilla%20bean%20mousse%20cake,food"
베이컨듬뿍 피자 크림,Bacon-full pizza cream,"https://source.unsplash.com/400x400/?Bacon-full%20pizza%20cream,food"
오트밀레이즌쿠키,Oatmeal Rayson Cookies,"https://source.unsplash.com/400x400/?Oatmeal%20Rayson%20Cookies,food"
돼지갈비구이,Grilled pork ribs,"https://source.unsplash.com/400x400/?Grilled%20pork%20ribs,food"
스파이시 이탈리안 피자 치즈롤,Spicy Italian Pizza Cheese Roll,"https://source.unsplash.com/400x400/?Spicy%20Italian%20Pizza%20Cheese%20Roll,food"
불고기와퍼 버거,Bulgogi Fur Burgers,"https://source.unsplash.com/400x400/?Bulgogi%20Fur%20Burgers,food"
떠먹는 유자 티라미수 케이크,Eating Yuzu Tiramisu Cake,"https://source.unsplash.com/400x400/?Eating%20Yuzu%20Tiramisu%20Cake,food"
황치즈 마카롱,Yellow cheese macarons,"https://source.unsplash.com/400x400/?Yellow%20cheese%20macarons,food"
제주청귤티 아이스,Jeju Cheongguti Ice,"https://source.unsplash.com/400x400/?Jeju%20Cheongguti%20Ice,food"
스트로베리 크레이프 케이크,Strawberry crepe cake,"https://source.unsplash.com/400x400/?Strawberry%20crepe%20cake,food"
레몬티,Lemonti,"https://source.unsplash.com/400x400/?Lemonti,food"
반올림고구마골드 피자,Rounded Sweet Potato Gold Pizza,"https://source.unsplash.com/400x400/?Rounded%20Sweet%20Potato%20Gold%20Pizza,food"
블루베리 라떼 젤라또,Blueberry Latte Gelato,"https://source.unsplash.com/400x400/?Blueberry%20Latte%20Gelato,food"
고등어튀김,Fried mackerel,"https://source.unsplash.com/400x400/?Fried%20mackerel,food"
말차 밀크 프라페,Matcha milk frappe,"https://source.unsplash.com/400x400/?Matcha%20milk%20frappe,food"
스모크 치킨 반마리,Half a smoked chicken,"https://source.unsplash.com/400x400/?Half%20a%20smoked%20chicken,food"
카라멜 마끼아또 핫,Caramel macchiato hot,"https://source.unsplash.com/400x400/?Caramel%20macchiato%20hot,food"
알밤파이만주,Albampay Bay Governorate,"https://source.unsplash.com/400x400/?Albampay%20Bay%20Governorate,food"
체리석류,Cherry pomegranate,"https://source.unsplash.com/400x400/?Cherry%20pomegranate,food"
잉글리쉬 브렉퍼스트,English Breakfast,"https://source.unsplash.com/400x400/?English%20Breakfast,food"
단호박조림,Braised pumpkin,"https://source.unsplash.com/400x400/?Braised%20pumpkin,food"
오뎅식당 부대찌개,Odeng Restaurant Stew,"https://source.unsplash.com/400x400/?Odeng%20Restaurant%20Stew,food"
앗메리카노 아이스 빽사이즈,Assamericano ice dense,"https://source.unsplash.com/400x400/?Assamericano%20ice%20dense,food"
스파이시치킨샐러드랩,Spicy Chicken Salad Wrap,"https://source.unsplash.com/400x400/?Spicy%20Chicken%20Salad%20Wrap,food"
치킨할라피뇨 피자 치즈링,Chicken Jalapeño Pizza Cheese Ring,"https://source.unsplash.com/400x400/?Chicken%20Jalape%C3%B1o%20Pizza%20Cheese%20Ring,food"
디카페인 오트카페 라떼 아이스,Decaffeinated haute cafe latte iced,"https://source.unsplash.com/400x400/?Decaffeinated%20haute%20cafe%20latte%20iced,food"
아빠의제주깜슐랭 치킨,Daddy's Jeju Hamschirin Chicken,"https://source.unsplash.com/400x400/?Daddy%27s%20Jeju%20Hamschirin%20Chicken,food"
쉬림프 골드 피자 치즈캡,Shrimp Gold Pizza Cheese Cap,"https://source.unsplash.com/400x400/?Shrimp%20Gold%20Pizza%20Cheese%20Cap,food"
레몬 마들렌,Lemon Madeleine,"https://source.unsplash.com/400x400/?Lemon%20Madeleine,food"
초코 리얼 라떼 아이스,Choco Real Latte Ice,"https://source.unsplash.com/400x400/?Choco%20Real%20Latte%20Ice,food"
청귤티 핫,Jeongguti hot,"https://source.unsplash.com/400x400/?Jeongguti%20hot,food"
달걀듬뿍 볶음밥,Fried rice with lots of eggs,"https://source.unsplash.com/400x400/?Fried%20rice%20with%20lots%20of%20eggs,food"
카스텔라,Castella,"https://source.unsplash.com/400x400/?Castella,food"
슬림 리얼 생 초코 라떼 아이스,Slim Real Raw Chocolate Latte Ice,"https://source.unsplash.com/400x400/?Slim%20Real%20Raw%20Chocolate%20Latte%20Ice,food"
부추,Allium,"https://source.unsplash.com/400x400/?Allium,food"
까까웨뜨,Caquette,"https://source.unsplash.com/400x400/?Caquette,food"
쉬림프페퍼로니모짜 버거,Shrimp Pepperoni Mozza Burger,"https://source.unsplash.com/400x400/?Shrimp%20Pepperoni%20Mozza%20Burger,food"
리얼 초코 아이스,Real Choco Ice,"https://source.unsplash.com/400x400/?Real%20Choco%20Ice,food"
페퍼로니피자,Pepperoni Pizza,"https://source.unsplash.com/400x400/?Pepperoni%20Pizza,food"
카모마일 핫,Chamomile hot,"https://source.unsplash.com/400x400/?Chamomile%20hot,food"
민트초코 스노우,Mint Choco Snow,"https://source.unsplash.com/400x400/?Mint%20Choco%20Snow,food"
시나몬 카페 라떼 핫,Cinnamon Cafe Latte Hot,"https://source.unsplash.com/400x400/?Cinnamon%20Cafe%20Latte%20Hot,food"
새우 피자,Shrimp Pizza,"https://source.unsplash.com/400x400/?Shrimp%20Pizza,food"
콩티라미수 케이크,Contiramisu cake,"https://source.unsplash.com/400x400/?Contiramisu%20cake,food"
조미김,Seasoned seaweed,"https://source.unsplash.com/400x400/?Seasoned%20seaweed,food"
밀크폼 흑임자 버블 라떼,Milk foam black sesame bubble latte,"https://source.unsplash.com/400x400/?Milk%20foam%20black%20sesame%20bubble%20latte,food"
토란국,Toran Province,"https://source.unsplash.com/400x400/?Toran%20Province,food"
기피편,Evasion Piece,"https://source.unsplash.com/400x400/?Evasion%20Piece,food"
메이플 크로플,Maple croffle,"https://source.unsplash.com/400x400/?Maple%20croffle,food"
통마늘 불고기 피자 밀도우,Whole Garlic Bulgogi Pizza Milledough,"https://source.unsplash.com/400x400/?Whole%20Garlic%20Bulgogi%20Pizza%20Milledough,food"
야채 피자 리치골드,Vegetable Pizza Rich Gold,"https://source.unsplash.com/400x400/?Vegetable%20Pizza%20Rich%20Gold,food"
블랙앵거스 스테이크 피자 씬,Black Angus Steak Pizza Scene,"https://source.unsplash.com/400x400/?Black%20Angus%20Steak%20Pizza%20Scene,food"
그린티 카페 라떼 핫,Green Tea Café Latte Hot,"https://source.unsplash.com/400x400/?Green%20Tea%20Caf%C3%A9%20Latte%20Hot,food"
근대 된장국,Modern miso soup,"https://source.unsplash.com/400x400/?Modern%20miso%20soup,food"
감자구이,Grilled potatoes,"https://source.unsplash.com/400x400/?Grilled%20potatoes,food"
더블바베큐피자,Double barbecue pizza,"https://source.unsplash.com/400x400/?Double%20barbecue%20pizza,food"
그린티 젤라또,Green tea gelato,"https://source.unsplash.com/400x400/?Green%20tea%20gelato,food"
치즈폭탄 더블임실치즈불고기 피자,Cheese Bomb Double Impressed Cheese Bulgogi Pizza,"https://source.unsplash.com/400x400/?Cheese%20Bomb%20Double%20Impressed%20Cheese%20Bulgogi%20Pizza,food"
벨지안멜팅가니슈 케이크,Belgian melting garnish cake,"https://source.unsplash.com/400x400/?Belgian%20melting%20garnish%20cake,food"
짱감자 피자 밀스크린고구마크러스트,Awesome Potato Pizza Mill Screen Sweet Potato Marklust,"https://source.unsplash.com/400x400/?Awesome%20Potato%20Pizza%20Mill%20Screen%20Sweet%20Potato%20Marklust,food"
갈릭바베큐치킨 버거,Garlic Barbecue Chicken Burgers,"https://source.unsplash.com/400x400/?Garlic%20Barbecue%20Chicken%20Burgers,food"
인절미 눈꽃빙수,Injeolmi Snowflake Shaved Water,"https://source.unsplash.com/400x400/?Injeolmi%20Snowflake%20Shaved%20Water,food"
LA BBQ 불고기 피자 오리지널 파마산 치즈,LA BBQ Bulgogi Pizza Original Parmesan Cheese,"https://source.unsplash.com/400x400/?LA%20BBQ%20Bulgogi%20Pizza%20Original%20Parmesan%20Cheese,food"
닭날개구이,Grilled chicken wings,"https://source.unsplash.com/400x400/?Grilled%20chicken%20wings,food"
치킨 피자,Chicken Pizza,"https://source.unsplash.com/400x400/?Chicken%20Pizza,food"
닭볶음,Stir fried chicken,"https://source.unsplash.com/400x400/?Stir%20fried%20chicken,food"
쿠앤크 눈꽃 우유얼음,Kuank Snowflake Milk Ice,"https://source.unsplash.com/400x400/?Kuank%20Snowflake%20Milk%20Ice,food"
크랜베리 스콘,Cranberry scones,"https://source.unsplash.com/400x400/?Cranberry%20scones,food"
치즈스틱츄,Cheese Sticky Cheese,"https://source.unsplash.com/400x400/?Cheese%20Sticky%20Cheese,food"
아이스크림 호떡,Ice Cream Ho Tteok,"https://source.unsplash.com/400x400/?Ice%20Cream%20Ho%20Tteok,food"
쿠쿠촉촉 마카롱,Cucu moist macarons,"https://source.unsplash.com/400x400/?Cucu%20moist%20macarons,food"
김치볶음,Kimchi Stir-Fry,"https://source.unsplash.com/400x400/?Kimchi%20Stir-Fry,food"
전갱이구이,Saurel grill,"https://source.unsplash.com/400x400/?Saurel%20grill,food"
마카로니,Macaroni,"https://source.unsplash.com/400x400/?Macaroni,food"
흑당 라떼 아이스,Black Sugar Latte Ice,"https://source.unsplash.com/400x400/?Black%20Sugar%20Latte%20Ice,food"
씨푸드킹 피자 프리미엄 오리지널,Seafood King Pizza Premium Original,"https://source.unsplash.com/400x400/?Seafood%20King%20Pizza%20Premium%20Original,food"
육해공골드 피자,Land and Sea Gold Pizza,"https://source.unsplash.com/400x400/?Land%20and%20Sea%20Gold%20Pizza,food"
더블X2 버거,Double X2 Burger,"https://source.unsplash.com/400x400/?Double%20X2%20Burger,food"
커스터드 브륄레 크로플,Custard Brûlée Cropple,"https://source.unsplash.com/400x400/?Custard%20Br%C3%BBl%C3%A9e%20Cropple,food"
훈제베이컨에그 반미 샌드위치,Smoked Bacon Egg Ban-America Sandwich,"https://source.unsplash.com/400x400/?Smoked%20Bacon%20Egg%20Ban-America%20Sandwich,food"
시나몬슈가스틱,Cinnamon Sugar Stick,"https://source.unsplash.com/400x400/?Cinnamon%20Sugar%20Stick,food"
파베쇼콜라 케이크,Pave chocolat cake,"https://source.unsplash.com/400x400/?Pave%20chocolat%20cake,food"
히비스커스 블렌드티 아이스,Hibiscus Blend Tea Ice,"https://source.unsplash.com/400x400/?Hibiscus%20Blend%20Tea%20Ice,food"
버섯 잡채,Mushroom gravy,"https://source.unsplash.com/400x400/?Mushroom%20gravy,food"
클래식 쿨빙수,Classic Cool Bings,"https://source.unsplash.com/400x400/?Classic%20Cool%20Bings,food"
수퍼 파파스 피자 씬,Super Papas Pizza Scene,"https://source.unsplash.com/400x400/?Super%20Papas%20Pizza%20Scene,food"
장어 양념구이,Grilled eel seasoning,"https://source.unsplash.com/400x400/?Grilled%20eel%20seasoning,food"
페파로니 피자 밀스크린고구마크러스트,Pefaroni Pizza Millscreen Sweet Potato Marklust,"https://source.unsplash.com/400x400/?Pefaroni%20Pizza%20Millscreen%20Sweet%20Potato%20Marklust,food"
아몬드 비엔나 커피,Almond Vienna Coffee,"https://source.unsplash.com/400x400/?Almond%20Vienna%20Coffee,food"
미니모카패스트리 식빵,Minimoka pastry bread,"https://source.unsplash.com/400x400/?Minimoka%20pastry%20bread,food"
게맛살,Crab stick,"https://source.unsplash.com/400x400/?Crab%20stick,food"
로얄포테이토 피자,Royal Potato Pizza,"https://source.unsplash.com/400x400/?Royal%20Potato%20Pizza,food"
크림치즈 고로케,Cream cheese croquette,"https://source.unsplash.com/400x400/?Cream%20cheese%20croquette,food"
모듬 김밥,Assorted Gimbap,"https://source.unsplash.com/400x400/?Assorted%20Gimbap,food"
지옥행불닭 피자,Uninhabited Chicken Pizza,"https://source.unsplash.com/400x400/?Uninhabited%20Chicken%20Pizza,food"
타로 버블 라떼,Tarot Bubble Latte,"https://source.unsplash.com/400x400/?Tarot%20Bubble%20Latte,food"
브라운슈가 버블 라떼,Brown Sugar Bubble Latte,"https://source.unsplash.com/400x400/?Brown%20Sugar%20Bubble%20Latte,food"
할루미 피자 밀스크린체다크림크러스트,Halloumi Pizza Millscheddar Cream Crust,"https://source.unsplash.com/400x400/?Halloumi%20Pizza%20Millscheddar%20Cream%20Crust,food"
민트초코 아이스크림 와플,Mint chocolate ice cream waffle,"https://source.unsplash.com/400x400/?Mint%20chocolate%20ice%20cream%20waffle,food"
